h,fd,bd,cd,hd
0.25,0.228254,0.183789,0.0222329,0.00109261
0.125,0.110248,0.0990266,0.00561059,6.98303e-05
0.0625,0.0539294,0.0511176,0.00140594,4.38882e-06
0.03125,0.0266391,0.0259357,0.000351691,2.74684e-07
0.015625,0.0132348,0.013059,8.79355e-05,1.71738e-08
0.0078125,0.00659584,0.00655187,2.19847e-05,1.07345e-09
0.00390625,0.00329248,0.00328148,5.49622e-06,6.70884e-11
0.00195312,0.00164487,0.00164212,1.37406e-06,4.20541e-12
0.000976562,0.000822092,0.000821405,3.43515e-07,2.47691e-13
0.000488281,0.00041096,0.000410789,8.58787e-08,2.23155e-14
0.000244141,0.000205459,0.000205416,2.14696e-08,9.81437e-14
0.00012207,0.000102724,0.000102713,5.36734e-09,4.13003e-14
6.10352e-05,5.13607e-05,5.1358e-05,1.34169e-09,4.13003e-14
3.05176e-05,2.568e-05,2.56793e-05,3.3579e-10,3.37619e-13
1.52588e-05,1.28399e-05,1.28397e-05,8.38596e-11,7.23421e-13
7.62939e-06,6.41993e-06,6.4199e-06,1.8376e-11,2.23921e-12
3.8147e-06,3.20997e-06,3.20996e-06,7.46203e-12,5.03675e-12
1.90735e-06,1.605e-06,1.60498e-06,7.46203e-12,9.88731e-12
9.53674e-07,8.02487e-07,8.02531e-07,2.16418e-11,4.10444e-11
4.76837e-07,4.0132e-07,4.01247e-07,3.65659e-11,1.71633e-11
2.38419e-07,2.0062e-07,2.0078e-07,7.98495e-11,1.96265e-10
1.19209e-07,1.00503e-07,1.00197e-07,1.52981e-10,3.08202e-10
5.96046e-08,5.06772e-08,4.99056e-08,3.85812e-10,4.63422e-10
