dt,err,method
+7.500000e-01,+1.068601e+00,Euler
+7.500000e-01,+1.702544e-01,RK2
+7.500000e-01,+5.462072e-03,RK4
+3.750000e-01,+6.407047e-01,Euler
+3.750000e-01,+2.710951e-02,RK2
+3.750000e-01,+2.166479e-04,RK4
+1.875000e-01,+3.080351e-01,Euler
+1.875000e-01,+4.759855e-03,RK2
+1.875000e-01,+9.064937e-06,RK4
+9.375000e-02,+1.473193e-01,Euler
+9.375000e-02,+9.151360e-04,RK2
+9.375000e-02,+4.208767e-07,RK4
+4.687500e-02,+7.169773e-02,Euler
+4.687500e-02,+1.925841e-04,RK2
+4.687500e-02,+2.168610e-08,RK4
+2.343750e-02,+3.533313e-02,Euler
+2.343750e-02,+4.349591e-05,RK2
+2.343750e-02,+1.210214e-09,RK4
+1.171875e-02,+1.753511e-02,Euler
+1.171875e-02,+1.028467e-05,RK2
+1.171875e-02,+7.109091e-11,RK4
+5.859375e-03,+8.734417e-03,Euler
+5.859375e-03,+2.496997e-06,RK2
+5.859375e-03,+4.300671e-12,RK4
+2.929688e-03,+4.358891e-03,Euler
+2.929688e-03,+6.149460e-07,RK2
+2.929688e-03,+2.666756e-13,RK4
+1.464844e-03,+2.177362e-03,Euler
+1.464844e-03,+1.525716e-07,RK2
+1.464844e-03,+1.720846e-14,RK4
