nStep,yEnd,theta
4,-7.62795e-14,0.687775
4,4.59045e-13,0.883021
8,-7.87966e-14,0.687775
8,4.35749e-13,0.883021
16,-7.5278e-14,0.687775
16,4.65168e-13,0.883021
32,2.27108e-15,0.687775
32,4.31677e-13,0.883021
64,-6.44471e-15,0.687775
64,4.67157e-13,0.883021
128,-7.08201e-14,0.687775
128,4.58132e-13,0.883021
256,-7.39793e-14,0.687775
256,4.6639e-13,0.883021
512,-6.96182e-14,0.687775
512,4.58758e-13,0.883021
1024,-8.0847e-14,0.687775
1024,4.46965e-13,0.883021
2048,-5.36772e-15,0.687775
2048,4.57958e-13,0.883021
