order,theta1,theta2
1,0.687775232248,0.883021094566
2,0.687775232216,0.883021094588
3,0.687775232216,0.883021094587
4,0.687775232216,0.883021094588
5,0.687775232216,0.883021094588
6,0.687775232216,0.883021094588
7,0.687775232216,0.883021094588
8,0.687775232216,0.883021094588
9,0.687775232216,0.883021094588
10,0.687775232216,0.883021094588
11,0.687775232216,0.883021094587
12,0.687775232216,0.883021094588
13,0.687775232216,0.883021094588
14,0.687775232216,0.883021094588
15,0.687775232216,0.883021094588
16,0.687775232216,0.883021094588
17,0.687775232216,0.883021094588
18,0.687775232216,0.883021094588
19,0.687775232216,0.883021094587
20,0.687775232216,0.883021094587
