x,y
-10,-0.46748
-9.8,-0.21084
-9.6,0.0382114
-9.4,0.279675
-9.2,0.51355
-9,0.739837
-8.8,0.958537
-8.6,1.16965
-8.4,1.37317
-8.2,1.56911
-8,1.75745
-7.8,1.93821
-7.6,2.11138
-7.4,2.27696
-7.2,2.43496
-7,2.58537
-6.8,2.72818
-6.6,2.86341
-6.4,2.99106
-6.2,3.11111
-6,3.22358
-5.8,3.32846
-5.6,3.42575
-5.4,3.51545
-5.2,3.59756
-5,3.67209
-4.8,3.73902
-4.6,3.79837
-4.4,3.85014
-4.2,3.89431
-4,3.93089
-3.8,3.95989
-3.6,3.9813
-3.4,3.99512
-3.2,4.00136
-3,4
-2.8,3.99106
-2.6,3.97453
-2.4,3.95041
-2.2,3.9187
-2,3.8794
-1.8,3.83252
-1.6,3.77805
-1.4,3.71599
-1.2,3.64634
-1,3.56911
-0.8,3.48428
-0.6,3.39187
-0.4,3.29187
-0.2,3.18428
0,3.06911
0.2,2.94634
0.4,2.81599
0.6,2.67805
0.8,2.53252
1,2.3794
1.2,2.2187
1.4,2.05041
1.6,1.87453
1.8,1.69106
2,1.5
2.2,1.30136
2.4,1.09512
2.6,0.881301
2.8,0.659892
3,0.430894
3.2,0.194309
3.4,-0.0498645
3.6,-0.301626
3.8,-0.560976
4,-0.827913
4.2,-1.10244
4.4,-1.38455
4.6,-1.67425
4.8,-1.97154
5,-2.27642
5.2,-2.58889
5.4,-2.90894
5.6,-3.23659
5.8,-3.57182
6,-3.91463
6.2,-4.26504
6.4,-4.62304
6.6,-4.98862
6.8,-5.36179
7,-5.74255
7.2,-6.13089
7.4,-6.52683
7.6,-6.93035
7.8,-7.34146
8,-7.76016
8.2,-8.18645
8.4,-8.62033
8.6,-9.06179
8.8,-9.51084
9,-9.96748
9.2,-10.4317
9.4,-10.9035
9.6,-11.3829
9.8,-11.8699
