nStep,xHalf,yHalf,theta
4,5.01,2.054,0.687775
4,5.01,3.04282,0.883021
8,5.01,2.054,0.687775
8,5.01,3.04282,0.883021
16,5.01,2.054,0.687775
16,5.01,3.04282,0.883021
32,5.01,2.054,0.687775
32,5.01,3.04282,0.883021
64,5.01,2.054,0.687775
64,5.01,3.04282,0.883021
128,5.01,2.054,0.687775
128,5.01,3.04282,0.883021
256,5.01,2.054,0.687775
256,5.01,3.04282,0.883021
512,5.01,2.054,0.687775
512,5.01,3.04282,0.883021
1024,5.01,2.054,0.687775
1024,5.01,3.04282,0.883021
2048,5.01,2.054,0.687775
2048,5.01,3.04282,0.883021
