t1,y1,theta
1.25615,-0.137608,0.65
1.41365,0.189846,0.785
1.65065,-0.231828,0.92
1.25615,-0.137608,0.65
1.41365,0.189846,0.785
1.31495,0.0574813,0.706732
1.27858,-0.0512931,0.672743
1.29529,0.00322358,0.688771
1.29428,0.000154758,0.687823
1.29423,-5.28708e-07,0.687775
1.29423,8.67671e-11,0.687775
1.29423,-7.41035e-13,0.687775
1.41365,0.189846,0.785
1.65065,-0.231828,0.92
1.50796,0.133219,0.84578
1.5561,0.0452561,0.872865
1.58254,-0.0187153,0.886801
1.57468,0.00142786,0.882724
1.57523,3.97909e-05,0.883013
1.57525,-8.8748e-08,0.883021
1.57525,4.49738e-12,0.883021
