t1,theta
1.25615,0.65
1.2643,0.658438
1.27266,0.666875
1.28121,0.675312
1.28997,0.68375
1.29895,0.692187
1.30815,0.700625
1.31757,0.709062
1.32722,0.7175
1.33712,0.725937
1.34726,0.734375
1.35765,0.742812
1.3683,0.75125
1.37921,0.759687
1.39041,0.768125
1.40188,0.776562
1.41365,0.785
1.42572,0.793437
1.4381,0.801875
1.45081,0.810312
1.46384,0.81875
1.47722,0.827187
1.49095,0.835625
1.50504,0.844062
1.51952,0.8525
1.53439,0.860937
1.54966,0.869375
1.56535,0.877812
1.58147,0.88625
1.59805,0.894687
1.61509,0.903125
1.63262,0.911562
